,PEP_ID,YEAR,DAY_BB,DAY_CL,sp,lat,lon,alt
17,3515,1951,105,283,FASY,47.7167,11.4167,620.0
34,3694,1951,109,283,FASY,48.8833,12.6,330.0
36,3579,1951,110,283,FASY,47.95,12.9333,400.0
39,3744,1951,110,288,FASY,49.1333,12.7333,480.0
40,3912,1951,110,265,FASY,49.15,11.6667,520.0
44,3091,1951,110,292,FASY,49.2667,8.75,180.0
54,2842,1951,111,282,FASY,48.7167,9.21667,391.0
66,2038,1951,112,301,FASY,50.0,8.71667,160.0
69,1074,1951,112,312,FASY,51.9,9.85,200.0
72,2916,1951,112,288,FASY,48.6833,10.1667,490.0
84,3984,1951,112,255,FASY,49.3167,12.75,420.0
86,4239,1951,112,285,FASY,49.4,11.4,450.0
89,531,1951,113,283,FASY,51.95,9.73333,200.0
103,1690,1951,114,280,FASY,52.3,8.91667,50.0
106,2166,1951,114,283,FASY,51.2833,9.63333,220.0
113,3827,1951,114,269,FASY,48.75,13.5167,440.0
130,3088,1951,114,280,FASY,49.3833,8.8,130.0
172,1713,1951,115,281,FASY,51.5833,9.3,230.0
176,2009,1951,115,291,FASY,50.5167,8.81667,170.0
183,2153,1951,115,291,FASY,50.75,9.81667,370.0
184,4317,1951,115,271,FASY,50.2833,9.91667,500.0
197,480,1951,115,285,FASY,51.5333,9.93333,150.0
215,199,1951,116,283,FASY,54.1167,10.1667,45.0
223,2217,1951,116,283,FASY,51.0167,9.93333,330.0
227,2294,1951,116,289,FASY,50.8833,9.35,270.0
238,3486,1951,116,291,FASY,48.05,10.8833,590.0
241,3656,1951,116,276,FASY,47.7667,12.65,680.0
242,3693,1951,116,286,FASY,48.8333,12.9667,310.0
246,3865,1951,116,258,FASY,49.3167,12.85,400.0
248,3959,1951,116,281,FASY,49.5333,11.6833,420.0
249,3991,1951,116,278,FASY,50.2667,10.9667,300.0
260,213,1951,117,298,FASY,54.0833,9.65,60.0
266,1539,1951,117,284,FASY,51.8333,7.3,65.0
284,2652,1951,117,270,FASY,49.9833,6.88333,160.0
292,3127,1951,117,294,FASY,49.4167,9.28333,290.0
307,3884,1951,117,270,FASY,49.1667,11.45,400.0
309,3987,1951,117,268,FASY,49.3833,12.7167,520.0
312,4132,1951,117,275,FASY,49.7667,11.55,420.0
316,4241,1951,117,271,FASY,49.2833,10.2667,500.0
350,4256,1951,118,274,FASY,49.45,10.3167,350.0
351,4266,1951,118,278,FASY,49.0167,11.1167,560.0
355,2241,1951,118,283,FASY,51.1333,9.01667,300.0
363,2390,1951,118,288,FASY,49.9833,7.96667,120.0
373,3014,1951,118,297,FASY,49.0833,9.88333,370.0
375,3063,1951,118,291,FASY,49.2167,8.51667,110.0
378,3124,1951,118,268,FASY,49.4667,9.21667,390.0
383,4415,1951,118,253,FASY,50.5333,10.15,440.0
397,2867,1951,119,290,FASY,48.9833,9.36667,290.0
405,3049,1951,119,301,FASY,49.5333,8.48333,95.0
406,3087,1951,119,258,FASY,49.25,8.73333,140.0
417,3630,1951,119,277,FASY,47.8333,10.8,830.0
421,3945,1951,119,274,FASY,48.9,11.6167,400.0
424,4039,1951,119,281,FASY,50.3667,10.8,340.0
429,4386,1951,119,292,FASY,49.7167,10.2167,230.0
436,1326,1951,120,281,FASY,51.5833,6.25,20.0
451,2496,1951,120,263,FASY,49.75,7.3,450.0
454,3076,1951,120,279,FASY,49.4667,9.58333,340.0
455,3628,1951,120,307,FASY,47.8,11.0167,980.0
464,3995,1951,120,255,FASY,50.0,12.0833,530.0
472,4445,1951,120,285,FASY,49.8833,10.0333,260.0
486,2075,1951,121,288,FASY,50.9667,8.5,420.0
491,4364,1951,121,286,FASY,50.15,10.4333,290.0
494,4458,1951,121,256,FASY,47.7333,10.3167,680.0
500,3248,1951,121,308,FASY,47.6,7.65,400.0
502,3520,1951,121,290,FASY,47.6333,13.0,550.0
508,4098,1951,121,276,FASY,50.1167,11.6167,370.0
515,2296,1951,121,286,FASY,51.0,9.06667,320.0
553,202,1951,122,285,FASY,54.1667,10.05,35.0
563,3852,1951,122,288,FASY,49.0333,11.4833,370.0
572,4109,1951,122,311,FASY,50.05,11.15,490.0
574,4223,1951,122,283,FASY,49.0167,11.1833,510.0
576,4492,1951,122,290,FASY,47.5667,10.7,810.0
577,4506,1951,122,289,FASY,48.1667,10.1167,530.0
591,2024,1951,122,288,FASY,50.4667,9.31667,460.0
596,188,1951,123,291,FASY,54.3167,10.2167,15.0
603,1129,1951,123,280,FASY,53.15,8.2,5.0
605,1852,1951,123,281,FASY,51.1,8.5,530.0
616,2253,1951,123,275,FASY,51.35,8.7,420.0
622,2909,1951,123,280,FASY,48.65,9.86667,685.0
623,2914,1951,123,293,FASY,48.6333,10.0167,620.0
629,4263,1951,123,278,FASY,48.9,10.9333,550.0
637,1469,1951,124,291,FASY,50.5667,6.26667,530.0
644,307,1951,124,291,FASY,54.15,9.28333,35.0
694,3983,1951,125,278,FASY,49.6167,12.35,570.0
697,4054,1951,125,290,FASY,49.9333,11.2833,400.0
701,4494,1951,125,289,FASY,47.5667,10.75,810.0
709,2049,1951,126,288,FASY,50.1167,8.91667,110.0
722,2552,1951,126,269,FASY,50.1667,7.55,450.0
760,244,1951,128,296,FASY,54.5167,9.56667,18.0
766,3798,1951,128,275,FASY,49.0833,12.8833,430.0
774,2568,1951,128,272,FASY,49.75,6.65,260.0
783,4517,1951,129,275,FASY,47.7167,10.2333,900.0
789,2893,1951,129,282,FASY,49.1333,10.1833,460.0
792,2615,1951,130,277,FASY,50.2,6.41667,450.0
800,3993,1951,130,278,FASY,50.3167,11.9167,500.0
813,2210,1951,132,287,FASY,51.0333,9.9,320.0
818,4055,1951,132,269,FASY,49.95,11.1667,450.0
830,4172,1951,133,258,FASY,49.3333,10.8,400.0
831,3963,1951,134,279,FASY,49.95,12.2833,550.0
833,4495,1951,134,289,FASY,48.4333,10.4167,460.0
850,1217,1951,140,283,FASY,53.1,8.86667,4.0
860,3876,1951,140,284,FASY,49.8667,11.9,460.0
868,427,1951,143,283,FASY,52.4,9.45,50.0
875,4584,1951,145,287,FASY,47.5667,10.2167,730.0
885,3824,1951,148,270,FASY,48.75,13.8167,720.0
906,1920,1952,101,285,FASY,49.6667,8.65,210.0
922,3237,1952,103,271,FASY,48.3333,7.88333,170.0
923,427,1952,103,264,FASY,52.4,9.45,50.0
948,3884,1952,104,268,FASY,49.1667,11.45,400.0
952,1852,1952,104,277,FASY,51.1,8.5,530.0
953,2166,1952,104,278,FASY,51.2833,9.63333,220.0
954,2210,1952,104,288,FASY,51.0333,9.9,320.0
955,1539,1952,105,281,FASY,51.8333,7.3,65.0
978,3088,1952,105,259,FASY,49.3833,8.8,130.0
980,3105,1952,105,293,FASY,48.9667,8.3,120.0
986,1074,1952,105,294,FASY,51.9,9.85,200.0
989,3912,1952,105,264,FASY,49.15,11.6667,520.0
998,4239,1952,106,283,FASY,49.4,11.4,450.0
1007,2253,1952,106,269,FASY,51.35,8.7,420.0
1014,2869,1952,106,272,FASY,48.9833,9.58333,290.0
1030,2153,1952,106,270,FASY,50.75,9.81667,370.0
1037,2009,1952,107,272,FASY,50.5167,8.81667,170.0
1064,2295,1952,107,275,FASY,50.8667,9.46667,330.0
1072,3069,1952,107,284,FASY,49.5333,9.31667,340.0
1092,2496,1952,108,258,FASY,49.75,7.3,450.0
1103,1537,1952,108,285,FASY,51.9667,7.3,110.0
1104,1713,1952,108,269,FASY,51.5833,9.3,230.0
1110,2038,1952,108,283,FASY,50.0,8.71667,160.0
1129,3959,1952,108,267,FASY,49.5333,11.6833,420.0
1131,4132,1952,108,271,FASY,49.7667,11.55,420.0
1132,2217,1952,109,272,FASY,51.0167,9.93333,330.0
1151,3127,1952,109,295,FASY,49.4167,9.28333,290.0
1171,531,1952,109,279,FASY,51.95,9.73333,200.0
1174,3630,1952,109,266,FASY,47.8333,10.8,830.0
1179,3984,1952,109,267,FASY,49.3167,12.75,420.0
1186,4256,1952,109,278,FASY,49.45,10.3167,350.0
1204,4317,1952,110,272,FASY,50.2833,9.91667,500.0
1212,2296,1952,110,272,FASY,51.0,9.06667,320.0
1223,3063,1952,110,283,FASY,49.2167,8.51667,110.0
1236,1981,1952,110,268,FASY,49.7833,9.03333,290.0
1242,3656,1952,110,276,FASY,47.7667,12.65,680.0
1243,3693,1952,110,274,FASY,48.8333,12.9667,310.0
1257,3694,1952,111,269,FASY,48.8833,12.6,330.0
1261,3744,1952,111,273,FASY,49.1333,12.7333,480.0
1267,3827,1952,111,269,FASY,48.75,13.5167,440.0
1269,3865,1952,111,269,FASY,49.3167,12.85,400.0
1271,3945,1952,111,269,FASY,48.9,11.6167,400.0
1275,4241,1952,111,280,FASY,49.2833,10.2667,500.0
1277,4263,1952,111,276,FASY,48.9,10.9333,550.0
1283,2415,1952,111,276,FASY,50.1667,8.06667,380.0
1284,2552,1952,111,271,FASY,50.1667,7.55,450.0
1286,2652,1952,111,270,FASY,49.9833,6.88333,160.0
1294,3087,1952,111,279,FASY,49.25,8.73333,140.0
1297,213,1952,111,292,FASY,54.0833,9.65,60.0
1308,4333,1952,111,277,FASY,50.1,9.65,180.0
1313,4445,1952,111,272,FASY,49.8833,10.0333,260.0
1345,3248,1952,112,293,FASY,47.6,7.65,400.0
1351,3824,1952,112,269,FASY,48.75,13.8167,720.0
1354,3987,1952,112,262,FASY,49.3833,12.7167,520.0
1364,2390,1952,112,270,FASY,49.9833,7.96667,120.0
1366,3014,1952,112,266,FASY,49.0833,9.88333,370.0
1367,3076,1952,112,277,FASY,49.4667,9.58333,340.0
1399,4223,1952,113,291,FASY,49.0167,11.1833,510.0
1401,4419,1952,113,286,FASY,50.4167,10.3833,340.0
1436,3983,1952,114,270,FASY,49.6167,12.35,570.0
1437,3991,1952,114,279,FASY,50.2667,10.9667,300.0
1441,4266,1952,114,272,FASY,49.0167,11.1167,560.0
1444,3091,1952,114,281,FASY,49.2667,8.75,180.0
1446,3124,1952,114,264,FASY,49.4667,9.21667,390.0
1447,3143,1952,114,273,FASY,49.3333,8.91667,210.0
1471,4456,1952,115,269,FASY,48.45,10.2667,450.0
1482,3053,1952,115,274,FASY,49.1,8.65,140.0
1496,2867,1952,116,269,FASY,48.9833,9.36667,290.0
1498,2893,1952,116,281,FASY,49.1333,10.1833,460.0
1517,4168,1952,116,278,FASY,49.0333,10.9667,420.0
1520,199,1952,116,264,FASY,54.1167,10.1667,45.0
1528,4506,1952,116,282,FASY,48.1667,10.1167,530.0
1534,202,1952,117,261,FASY,54.1667,10.05,35.0
1555,4039,1952,117,273,FASY,50.3667,10.8,340.0
1564,3049,1952,117,299,FASY,49.5333,8.48333,95.0
1566,2187,1952,117,289,FASY,50.7333,8.7,180.0
1570,1469,1952,118,288,FASY,50.5667,6.26667,530.0
1573,2049,1952,118,274,FASY,50.1167,8.91667,110.0
1575,3628,1952,118,263,FASY,47.8,11.0167,980.0
1578,3963,1952,118,279,FASY,49.95,12.2833,550.0
1580,4109,1952,118,275,FASY,50.05,11.15,490.0
1581,4364,1952,118,282,FASY,50.15,10.4333,290.0
1586,3065,1952,118,278,FASY,49.4,9.4,230.0
1589,1217,1952,119,289,FASY,53.1,8.86667,4.0
1612,2568,1952,119,267,FASY,49.75,6.65,260.0
1623,480,1952,120,286,FASY,51.5333,9.93333,150.0
1636,4386,1952,120,277,FASY,49.7167,10.2167,230.0
1637,4517,1952,120,276,FASY,47.7167,10.2333,900.0
1646,2909,1952,121,272,FASY,48.65,9.86667,685.0
1655,3993,1952,121,269,FASY,50.3167,11.9167,500.0
1657,4054,1952,121,274,FASY,49.9333,11.2833,400.0
1661,1326,1952,121,275,FASY,51.5833,6.25,20.0
1670,2075,1952,121,286,FASY,50.9667,8.5,420.0
1673,4458,1952,121,256,FASY,47.7333,10.3167,680.0
1711,2294,1952,122,290,FASY,50.8833,9.35,270.0
1714,2914,1952,122,296,FASY,48.6333,10.0167,620.0
1717,307,1952,123,269,FASY,54.15,9.28333,35.0
1720,1129,1952,123,286,FASY,53.15,8.2,5.0
1730,3852,1952,123,264,FASY,49.0333,11.4833,370.0
1735,4494,1952,123,281,FASY,47.5667,10.75,810.0
1736,4495,1952,123,277,FASY,48.4333,10.4167,460.0
1738,188,1952,124,286,FASY,54.3167,10.2167,15.0
1739,244,1952,124,287,FASY,54.5167,9.56667,18.0
1746,4412,1952,124,281,FASY,50.4,10.35,310.0
1773,3875,1952,126,269,FASY,49.3833,11.65,480.0
1775,4055,1952,126,262,FASY,49.95,11.1667,450.0
1777,4172,1952,126,283,FASY,49.3333,10.8,400.0
1795,3486,1952,128,282,FASY,48.05,10.8833,590.0
1798,4198,1952,128,264,FASY,49.1667,10.3333,450.0
1815,4539,1952,131,288,FASY,47.9667,10.15,610.0
1817,3876,1952,131,284,FASY,49.8667,11.9,460.0
1874,1920,1953,92,279,FASY,49.6667,8.65,210.0
1875,2166,1953,92,270,FASY,51.2833,9.63333,220.0
1883,3143,1953,92,275,FASY,49.3333,8.91667,210.0
1897,563,1953,94,270,FASY,51.8,10.0333,130.0
1920,2916,1953,96,263,FASY,48.6833,10.1667,490.0
1934,3248,1953,96,300,FASY,47.6,7.65,400.0
1936,3884,1953,96,254,FASY,49.1667,11.45,400.0
1939,4239,1953,96,275,FASY,49.4,11.4,450.0
1966,3285,1953,99,282,FASY,48.4333,8.2,390.0
1969,2296,1953,99,264,FASY,51.0,9.06667,320.0
1975,3124,1953,99,245,FASY,49.4667,9.21667,390.0
1982,2867,1953,100,263,FASY,48.9833,9.36667,290.0
1983,2869,1953,100,257,FASY,48.9833,9.58333,290.0
1986,3076,1953,100,274,FASY,49.4667,9.58333,340.0
1987,3127,1953,100,288,FASY,49.4167,9.28333,290.0
1997,4266,1953,100,281,FASY,49.0167,11.1167,560.0
2003,1119,1953,100,281,FASY,52.1833,10.7167,150.0
2015,2009,1953,100,268,FASY,50.5167,8.81667,170.0
2061,3091,1953,102,260,FASY,49.2667,8.75,180.0
2074,3945,1953,102,253,FASY,48.9,11.6167,400.0
2082,2241,1953,103,271,FASY,51.1333,9.01667,300.0
2092,3987,1953,103,274,FASY,49.3833,12.7167,520.0
2094,4445,1953,103,274,FASY,49.8833,10.0333,260.0
2101,2038,1953,104,284,FASY,50.0,8.71667,160.0
2104,2153,1953,104,245,FASY,50.75,9.81667,370.0
2106,531,1953,104,273,FASY,51.95,9.73333,200.0
2107,1074,1953,104,283,FASY,51.9,9.85,200.0
2117,2390,1953,104,268,FASY,49.9833,7.96667,120.0
2119,3087,1953,104,284,FASY,49.25,8.73333,140.0
2120,3237,1953,104,275,FASY,48.3333,7.88333,170.0
2128,2842,1953,105,266,FASY,48.7167,9.21667,391.0
2135,3656,1953,105,272,FASY,47.7667,12.65,680.0
2136,3824,1953,105,275,FASY,48.75,13.8167,720.0
2142,4263,1953,105,274,FASY,48.9,10.9333,550.0
2144,1852,1953,105,274,FASY,51.1,8.5,530.0
2151,427,1953,105,263,FASY,52.4,9.45,50.0
2174,3088,1953,106,261,FASY,49.3833,8.8,130.0
2176,3482,1953,106,248,FASY,47.7333,12.8833,480.0
2178,3984,1953,106,247,FASY,49.3167,12.75,420.0
2180,4256,1953,106,271,FASY,49.45,10.3167,350.0
2185,2210,1953,106,271,FASY,51.0333,9.9,320.0
2196,3018,1953,107,288,FASY,48.5,10.1167,460.0
2197,3069,1953,107,282,FASY,49.5333,9.31667,340.0
2208,3959,1953,107,260,FASY,49.5333,11.6833,420.0
2213,1723,1953,108,298,FASY,51.9167,8.38333,75.0
2223,2168,1953,108,268,FASY,51.3833,9.51667,170.0
2236,3693,1953,108,263,FASY,48.8333,12.9667,310.0
2244,3991,1953,108,280,FASY,50.2667,10.9667,300.0
2250,2217,1953,108,277,FASY,51.0167,9.93333,330.0
2252,2253,1953,108,268,FASY,51.35,8.7,420.0
2253,2295,1953,108,261,FASY,50.8667,9.46667,330.0
2267,4412,1953,108,272,FASY,50.4,10.35,310.0
2268,4419,1953,108,297,FASY,50.4167,10.3833,340.0
2272,202,1953,109,268,FASY,54.1667,10.05,35.0
2279,1326,1953,109,274,FASY,51.5833,6.25,20.0
2281,1713,1953,109,274,FASY,51.5833,9.3,230.0
2296,3630,1953,109,268,FASY,47.8333,10.8,830.0
2301,4109,1953,109,249,FASY,50.05,11.15,490.0
2314,2496,1953,109,249,FASY,49.75,7.3,450.0
2315,2652,1953,109,266,FASY,49.9833,6.88333,160.0
2322,1539,1953,110,277,FASY,51.8333,7.3,65.0
2328,2024,1953,110,289,FASY,50.4667,9.31667,460.0
2353,3827,1953,110,273,FASY,48.75,13.5167,440.0
2357,3986,1953,110,288,FASY,49.4333,12.5833,530.0
2376,2914,1953,110,258,FASY,48.6333,10.0167,620.0
2379,3065,1953,110,274,FASY,49.4,9.4,230.0
2383,3173,1953,110,280,FASY,48.7667,8.25,180.0
2391,4506,1953,110,275,FASY,48.1667,10.1167,530.0
2400,2568,1953,111,273,FASY,49.75,6.65,260.0
2417,3875,1953,111,258,FASY,49.3833,11.65,480.0
2429,1469,1953,112,288,FASY,50.5667,6.26667,530.0
2433,2049,1953,112,270,FASY,50.1167,8.91667,110.0
2446,3579,1953,112,281,FASY,47.95,12.9333,400.0
2455,3983,1953,112,265,FASY,49.6167,12.35,570.0
2463,1072,1953,112,278,FASY,52.3,10.4333,80.0
2471,4584,1953,112,280,FASY,47.5667,10.2167,730.0
2473,199,1953,113,268,FASY,54.1167,10.1667,45.0
2510,2552,1953,113,267,FASY,50.1667,7.55,450.0
2511,2909,1953,113,267,FASY,48.65,9.86667,685.0
2528,307,1953,114,269,FASY,54.15,9.28333,35.0
2536,3694,1953,114,274,FASY,48.8833,12.6,330.0
2543,4039,1953,114,273,FASY,50.3667,10.8,340.0
2544,4098,1953,114,281,FASY,50.1167,11.6167,370.0
2545,4172,1953,114,270,FASY,49.3333,10.8,400.0
2551,4317,1953,114,269,FASY,50.2833,9.91667,500.0
2555,2415,1953,115,282,FASY,50.1667,8.06667,380.0
2557,2615,1953,115,263,FASY,50.2,6.41667,450.0
2560,3049,1953,115,298,FASY,49.5333,8.48333,95.0
2570,2075,1953,115,278,FASY,50.9667,8.5,420.0
2581,4054,1953,115,269,FASY,49.9333,11.2833,400.0
2584,4132,1953,115,263,FASY,49.7667,11.55,420.0
2626,3628,1953,116,271,FASY,47.8,11.0167,980.0
2636,4340,1953,116,264,FASY,49.95,10.2833,220.0
2637,4456,1953,116,264,FASY,48.45,10.2667,450.0
2638,4494,1953,116,285,FASY,47.5667,10.75,810.0
2640,4539,1953,116,286,FASY,47.9667,10.15,610.0
2649,1129,1953,117,284,FASY,53.15,8.2,5.0
2656,2242,1953,117,277,FASY,51.35,8.73333,400.0
2659,3105,1953,117,288,FASY,48.9667,8.3,120.0
2662,3486,1953,117,274,FASY,48.05,10.8833,590.0
2672,480,1953,118,271,FASY,51.5333,9.93333,150.0
2678,4386,1953,118,276,FASY,49.7167,10.2167,230.0
2690,3659,1953,118,285,FASY,47.8167,12.65,610.0
2710,4333,1953,119,268,FASY,50.1,9.65,180.0
2716,2294,1953,119,288,FASY,50.8833,9.35,270.0
2724,3520,1953,119,288,FASY,47.6333,13.0,550.0
2729,3912,1953,120,261,FASY,49.15,11.6667,520.0
2730,3963,1953,120,276,FASY,49.95,12.2833,550.0
2740,188,1953,121,287,FASY,54.3167,10.2167,15.0
2763,1217,1953,122,267,FASY,53.1,8.86667,4.0
2765,4364,1953,122,278,FASY,50.15,10.4333,290.0
2780,244,1953,123,290,FASY,54.5167,9.56667,18.0
2794,3995,1953,124,277,FASY,50.0,12.0833,530.0
2814,4055,1953,130,268,FASY,49.95,11.1667,450.0
2827,4495,1953,135,282,FASY,48.4333,10.4167,460.0
2828,2023,1953,135,253,FASY,50.6333,9.45,270.0
2841,3993,1953,148,273,FASY,50.3167,11.9167,500.0
2884,3091,1954,112,282,FASY,49.2667,8.75,180.0
2891,3285,1954,113,272,FASY,48.4333,8.2,390.0
2895,2867,1954,114,278,FASY,48.9833,9.36667,290.0
2920,2038,1954,116,290,FASY,50.0,8.71667,160.0
2928,2568,1954,117,272,FASY,49.75,6.65,260.0
2934,2166,1954,117,274,FASY,51.2833,9.63333,220.0
2943,2069,1954,118,273,FASY,50.9833,8.73333,250.0
2944,2153,1954,118,284,FASY,50.75,9.81667,370.0
2949,2296,1954,118,272,FASY,51.0,9.06667,320.0
2956,3105,1954,118,296,FASY,48.9667,8.3,120.0
2962,3693,1954,118,288,FASY,48.8333,12.9667,310.0
2965,3912,1954,118,279,FASY,49.15,11.6667,520.0
2974,1539,1954,119,279,FASY,51.8333,7.3,65.0
2992,4239,1954,119,275,FASY,49.4,11.4,450.0
2993,1074,1954,120,285,FASY,51.9,9.85,200.0
3002,2210,1954,120,259,FASY,51.0333,9.9,320.0
3003,3248,1954,120,287,FASY,47.6,7.65,400.0
3015,2295,1954,120,270,FASY,50.8667,9.46667,330.0
3022,3023,1954,120,277,FASY,49.0667,8.8,190.0
3023,3088,1954,120,275,FASY,49.3833,8.8,130.0
3027,3173,1954,120,291,FASY,48.7667,8.25,180.0
3028,2217,1954,121,277,FASY,51.0167,9.93333,330.0
3039,2390,1954,121,282,FASY,49.9833,7.96667,120.0
3042,2842,1954,121,276,FASY,48.7167,9.21667,391.0
3046,3087,1954,121,293,FASY,49.25,8.73333,140.0
3047,3124,1954,121,271,FASY,49.4667,9.21667,390.0
3055,3865,1954,121,279,FASY,49.3167,12.85,400.0
3056,3884,1954,121,278,FASY,49.1667,11.45,400.0
3083,2009,1954,121,279,FASY,50.5167,8.81667,170.0
3089,2168,1954,121,285,FASY,51.3833,9.51667,170.0
3091,2187,1954,121,301,FASY,50.7333,8.7,180.0
3094,4364,1954,121,290,FASY,50.15,10.4333,290.0
3099,4445,1954,121,283,FASY,49.8833,10.0333,260.0
3105,1217,1954,122,283,FASY,53.1,8.86667,4.0
3117,2023,1954,122,283,FASY,50.6333,9.45,270.0
3119,2075,1954,122,283,FASY,50.9667,8.5,420.0
3125,4317,1954,122,264,FASY,50.2833,9.91667,500.0
3139,3049,1954,122,297,FASY,49.5333,8.48333,95.0
3140,3127,1954,122,293,FASY,49.4167,9.28333,290.0
3148,3827,1954,122,271,FASY,48.75,13.5167,440.0
3151,3984,1954,122,261,FASY,49.3167,12.75,420.0
3157,307,1954,122,278,FASY,54.15,9.28333,35.0
3167,1072,1954,122,271,FASY,52.3,10.4333,80.0
3183,2432,1954,123,261,FASY,50.5167,8.38333,220.0
3189,2869,1954,123,279,FASY,48.9833,9.58333,290.0
3191,2916,1954,123,280,FASY,48.6833,10.1667,490.0
3195,3014,1954,123,277,FASY,49.0833,9.88333,370.0
3196,3065,1954,123,283,FASY,49.4,9.4,230.0
3212,1690,1954,123,275,FASY,52.3,8.91667,50.0
3217,3422,1954,123,286,FASY,48.4,9.2,800.0
3221,3995,1954,123,274,FASY,50.0,12.0833,530.0
3224,4168,1954,123,281,FASY,49.0333,10.9667,420.0
3225,4223,1954,123,271,FASY,49.0167,11.1833,510.0
3230,427,1954,124,268,FASY,52.4,9.45,50.0
3232,1129,1954,124,283,FASY,53.15,8.2,5.0
3255,2652,1954,124,281,FASY,49.9833,6.88333,160.0
3259,3071,1954,124,276,FASY,49.3667,9.61667,240.0
3266,3579,1954,124,281,FASY,47.95,12.9333,400.0
3270,3875,1954,124,278,FASY,49.3833,11.65,480.0
3278,4256,1954,124,275,FASY,49.45,10.3167,350.0
3280,4415,1954,124,258,FASY,50.5333,10.15,440.0
3290,1782,1954,125,288,FASY,51.6667,8.35,75.0
3295,199,1954,125,278,FASY,54.1167,10.1667,45.0
3317,2953,1954,125,283,FASY,48.8667,8.86667,350.0
3326,3482,1954,125,253,FASY,47.7333,12.8833,480.0
3332,3991,1954,125,286,FASY,50.2667,10.9667,300.0
3337,4263,1954,125,285,FASY,48.9,10.9333,550.0
3382,3945,1954,126,294,FASY,48.9,11.6167,400.0
3385,4109,1954,126,285,FASY,50.05,11.15,490.0
3398,531,1954,127,271,FASY,51.95,9.73333,200.0
3402,1326,1954,127,283,FASY,51.5833,6.25,20.0
3404,1713,1954,127,274,FASY,51.5833,9.3,230.0
3428,2976,1954,127,281,FASY,49.4833,9.76667,250.0
3431,3426,1954,127,285,FASY,48.4833,9.41667,460.0
3439,4015,1954,127,281,FASY,49.8667,11.0,290.0
3444,4241,1954,127,276,FASY,49.2833,10.2667,500.0
3452,2049,1954,128,283,FASY,50.1167,8.91667,110.0
3456,188,1954,128,290,FASY,54.3167,10.2167,15.0
3466,4412,1954,128,281,FASY,50.4,10.35,310.0
3474,3378,1954,128,271,FASY,48.2833,9.71667,510.0
3477,3694,1954,128,283,FASY,48.8833,12.6,330.0
3482,3959,1954,128,272,FASY,49.5333,11.6833,420.0
3487,4172,1954,128,283,FASY,49.3333,10.8,400.0
3492,2415,1954,128,263,FASY,50.1667,8.06667,380.0
3495,2496,1954,128,263,FASY,49.75,7.3,450.0
3530,4340,1954,129,287,FASY,49.95,10.2833,220.0
3553,3630,1954,129,288,FASY,47.8333,10.8,830.0
3575,2552,1954,130,283,FASY,50.1667,7.55,450.0
3576,2615,1954,130,283,FASY,50.2,6.41667,450.0
3600,4506,1954,130,292,FASY,48.1667,10.1167,530.0
3602,4539,1954,130,282,FASY,47.9667,10.15,610.0
3610,3346,1954,130,303,FASY,48.2833,8.85,520.0
3619,3656,1954,130,292,FASY,47.7667,12.65,680.0
3629,3983,1954,130,282,FASY,49.6167,12.35,570.0
3630,3987,1954,130,274,FASY,49.3833,12.7167,520.0
3631,3997,1954,130,286,FASY,50.1667,12.1333,540.0
3633,4055,1954,130,275,FASY,49.95,11.1667,450.0
3638,4132,1954,130,279,FASY,49.7667,11.55,420.0
3643,4198,1954,130,291,FASY,49.1667,10.3333,450.0
3648,1469,1954,130,278,FASY,50.5667,6.26667,530.0
3652,1852,1954,130,280,FASY,51.1,8.5,530.0
3661,2909,1954,131,290,FASY,48.65,9.86667,685.0
3662,2914,1954,131,291,FASY,48.6333,10.0167,620.0
3663,3076,1954,131,288,FASY,49.4667,9.58333,340.0
3673,3798,1954,131,288,FASY,49.0833,12.8833,430.0
3683,480,1954,132,281,FASY,51.5333,9.93333,150.0
3686,2242,1954,132,281,FASY,51.35,8.73333,400.0
3692,3486,1954,132,277,FASY,48.05,10.8833,590.0
3698,3628,1954,132,281,FASY,47.8,11.0167,980.0
3713,4156,1954,132,275,FASY,50.0167,11.95,600.0
3716,4419,1954,132,291,FASY,50.4167,10.3833,340.0
3719,4584,1954,132,290,FASY,47.5667,10.2167,730.0
3724,4386,1954,133,271,FASY,49.7167,10.2167,230.0
3735,3986,1954,133,293,FASY,49.4333,12.5833,530.0
3749,4039,1954,134,285,FASY,50.3667,10.8,340.0
3754,4495,1954,134,289,FASY,48.4333,10.4167,460.0
3764,2294,1954,135,293,FASY,50.8833,9.35,270.0
3773,3284,1954,135,298,FASY,48.4833,8.16667,280.0
3781,3824,1954,135,285,FASY,48.75,13.8167,720.0
3782,3963,1954,135,287,FASY,49.95,12.2833,550.0
3838,4054,1954,143,285,FASY,49.9333,11.2833,400.0
3844,4098,1954,144,292,FASY,50.1167,11.6167,370.0
3855,3993,1954,148,275,FASY,50.3167,11.9167,500.0
3865,3018,1954,150,288,FASY,48.5,10.1167,460.0
3871,4364,1955,93,292,FASY,50.15,10.4333,290.0
3896,3173,1955,110,288,FASY,48.7667,8.25,180.0
3904,3248,1955,113,294,FASY,47.6,7.65,400.0
3916,2038,1955,114,296,FASY,50.0,8.71667,160.0
3938,2652,1955,116,266,FASY,49.9833,6.88333,160.0
3939,3143,1955,116,267,FASY,49.3333,8.91667,210.0
3946,3290,1955,117,285,FASY,48.8,8.31667,150.0
3951,2210,1955,117,287,FASY,51.0333,9.9,320.0
