Plot,RGR,survived,WD,SLA,DBH,sp
15,0.000212839800068032,0,0.64459495,11.3870773,10.1604788783749,Piscidia_carthagenensis
15,0.000976029145999924,1,0.53215581,7.2685224,15.5770873423773,Tabebuia_rosea
15,0.00870757546325329,1,0.70049762,15.9112957,10.673160578084,Luehea_candida
16,0.00911179988100486,1,0.70049762,15.9112957,17.3038028520389,Luehea_candida
16,0.0167275850868762,0,0.80433333,7.57726323,14.4,Tabebuia_ochracea
16,0.0311963121549654,1,0.70049762,15.9112957,10.2375605665697,Luehea_candida
16,0.00969635845597638,1,0.70049762,15.9112957,10.1136366293676,Luehea_candida
16,0.011212176832144,1,0.70049762,15.9112957,12.2462084563262,Luehea_candida
16,0.070552480056985,1,0.70049762,15.9112957,14.5113605915173,Luehea_candida
16,0.00359365117117427,0,0.80318011,6.7699511,19.6334225380493,Dalbergia_retusa
16,0.0020131473645848,0,0.57471568,15.2691681,10.8,Chomelia_spinosa
16,0.00976412755131095,0,0.35997774,9.02138266,35.2393183386719,Bursera_simaruba
16,0.00431791353522959,0,0.71462209,9.7854777,19.2,Tabebuia_impetiginosa
16,0.0395529689235325,1,0.71462209,9.7854777,0.0,Tabebuia_impetiginosa
16,0.00246325243531675,1,0.80318011,6.7699511,0.0,Dalbergia_retusa
16,0.000374433043157207,1,0.57471568,15.2691681,12.6725746540499,Chomelia_spinosa
16,0.0172208441379809,0,0.71462209,9.7854777,24.3,Tabebuia_impetiginosa
16,0.00724653586823676,1,0.77475077,11.7948688,18.2,Calycophyllum_candidissimum
16,0.0167897801173242,1,0.77475077,11.7948688,21.7446169068953,Calycophyllum_candidissimum
16,0.0397493960918531,0,0.18248994,11.2485639,49.7630394929208,Cochlospermum_vitifolium
16,0.00670644786012087,1,0.77475077,11.7948688,11.1811408460164,Calycophyllum_candidissimum
16,0.0115657728439764,1,0.77475077,11.7948688,30.5232000614096,Calycophyllum_candidissimum
16,0.017914756258981,1,0.77475077,11.7948688,14.5281774926555,Calycophyllum_candidissimum
16,0.00635253140216951,1,0.0,0.0,22.7260507149288,Coccoloba_caracasana
16,0.000125094833625106,0,0.0,0.0,29.2,Coccoloba_caracasana
16,0.00243384032552507,0,0.0,0.0,23.3317295971418,Coccoloba_caracasana
17,0.0275531056835003,1,0.77574754,13.7817175,19.0782056676159,Gliricidia_sepium
17,0.0372392157893189,1,0.58374523,13.3734124,15.9495183904862,Alvaradoa_amorphoides
17,0.00606459803518566,1,0.7371692,8.75698686,12.2623380419537,Guazuma_ulmifolia
17,0.0272287965567148,1,0.7371692,8.75698686,20.4087859374674,Guazuma_ulmifolia
17,0.011596762962673,1,0.7371692,8.75698686,19.5875915686214,Guazuma_ulmifolia
17,0.000185207813574451,0,0.7371692,8.75698686,17.08,Guazuma_ulmifolia
17,0.00336879179992389,0,0.7371692,8.75698686,16.2222309962946,Guazuma_ulmifolia
17,0.0101559651761072,1,0.7371692,8.75698686,20.6134253651406,Guazuma_ulmifolia
17,0.020030890768389,1,0.7371692,8.75698686,19.2381971863421,Guazuma_ulmifolia
17,0.0229478041358573,1,0.7371692,8.75698686,29.8978873577297,Guazuma_ulmifolia
17,0.00752820645291363,1,0.7371692,8.75698686,25.1684366255295,Guazuma_ulmifolia
17,0.00841881400015509,1,0.57884716,10.2664217,12.8445633840657,Pithecellobium_dulce
17,0.00519106003437964,1,0.0,0.0,12.1778845306384,Coccoloba_caracasana
17,0.00338683756843583,1,0.7371692,8.75698686,24.2422338233859,Guazuma_ulmifolia
17,0.00256314305229877,0,0.7371692,8.75698686,27.7533746694023,Guazuma_ulmifolia
17,0.00192014333424328,0,0.7371692,8.75698686,26.3340084620834,Guazuma_ulmifolia
17,0.00231605771343668,1,0.7371692,8.75698686,10.8149605646506,Guazuma_ulmifolia
17,0.0163855620242264,0,0.0,0.0,26.715357841188,Triplaris_melaenodendron
17,0.0118559585066538,1,0.0,0.0,15.6553352244577,Triplaris_melaenodendron
17,0.0514160467535656,1,0.0,0.0,14.7349296585514,Triplaris_melaenodendron
17,0.124441706051692,1,0.0,0.0,14.8751211331394,Triplaris_melaenodendron
17,0.0219631945767507,1,0.0,0.0,10.957563393661,Guaiacum_sanctum
17,0.0111755902086155,1,0.7371692,8.75698686,20.0547493004236,Guazuma_ulmifolia
17,0.00363827967141939,1,0.7371692,8.75698686,32.5723155211759,Guazuma_ulmifolia
17,0.00363827967141939,1,0.7371692,8.75698686,32.5723155211759,Guazuma_ulmifolia
17,0.00378174077875038,0,0.7371692,8.75698686,22.6662084563262,Guazuma_ulmifolia
17,0.0253145494857283,1,0.56101044,7.25708923,0.0,Cordia_coloccoca
17,0.00439315370852356,1,0.57884716,10.2664217,13.3897633879038,Pithecellobium_dulce
17,0.00306826232684054,1,0.0,0.0,11.3064563767876,Coccoloba_caracasana
17,0.00248351842448713,0,0.7371692,8.75698686,18.2273239544735,Guazuma_ulmifolia
17,0.00869607802343664,0,0.7371692,8.75698686,28.7853070494973,Guazuma_ulmifolia
17,0.0237254484615517,0,0.7371692,8.75698686,20.3510958044607,Guazuma_ulmifolia
17,0.00980301525006233,1,0.7371692,8.75698686,29.733371842311,Guazuma_ulmifolia
17,0.00762727143242925,0,0.7371692,8.75698686,22.3,Guazuma_ulmifolia
17,0.00137403114987,1,0.7371692,8.75698686,11.3,Guazuma_ulmifolia
17,0.000729408968210166,0,0.7371692,8.75698686,13.9353323973664,Guazuma_ulmifolia
17,0.000500544481919274,0,0.7371692,8.75698686,11.1216450722605,Guazuma_ulmifolia
17,0.0122835678920246,1,0.57884716,10.2664217,11.1904000076762,Pithecellobium_dulce
17,0.0304598565715799,1,0.57884716,10.2664217,10.1451493080998,Pithecellobium_dulce
17,0.0153018509544633,0,0.7371692,8.75698686,13.0,Guazuma_ulmifolia
17,0.0186821355899309,1,0.7371692,8.75698686,32.9674958313274,Guazuma_ulmifolia
17,0.0609849222295229,1,0.7371692,8.75698686,21.3482958466798,Guazuma_ulmifolia
17,0.0609849222295229,1,0.7371692,8.75698686,21.3482958466798,Guazuma_ulmifolia
17,0.0260903709859099,0,0.7371692,8.75698686,27.7814366351248,Guazuma_ulmifolia
17,0.0214621155199173,1,0.58374523,13.3734124,22.1419155134997,Alvaradoa_amorphoides
17,0.0107860720865434,1,0.77574754,13.7817175,24.790197224723,Gliricidia_sepium
17,0.0422740910953849,1,0.77587762,13.3328466,19.0832057155922,Maclura_tinctoria
18,0.00969687414723097,1,0.7371692,8.75698686,67.4862761146123,Guazuma_ulmifolia
18,0.0376740752884381,1,0.42802635,7.50149537,10.4615493349665,Spondias_mombin
18,0.00470853212056577,1,0.7371692,8.75698686,20.3113549373347,Guazuma_ulmifolia
18,0.009328221707261,1,0.7371692,8.75698686,19.6385690190578,Guazuma_ulmifolia
18,0.00102937690765259,0,0.86802122,7.64671691,90.0961944168222,Sideroxylon_capiri
18,0.000582641844407039,1,0.80433333,7.57726323,20.2448816939519,Tabebuia_ochracea
18,0.0181339094725925,1,0.50278067,13.4176103,14.3172507379574,Annona_reticulata
18,0.0193469739098018,1,0.57850467,16.0218002,13.5295549507681,Trichilia_glabra
18,0.029504326203369,1,0.75952145,9.58950014,0.0,Brosimum_alicastrum
18,0.0063898591027769,1,0.60359178,6.1931364,75.7083015008624,Licania_arborea
18,0.0398222162206325,1,0.77475077,11.7948688,10.4977859662532,Calycophyllum_candidissimum
18,0.000722601090653363,0,0.60359178,6.1931364,36.2909859317103,Licania_arborea
18,0.00950970361539261,1,0.75952145,9.58950014,45.3013634186086,Brosimum_alicastrum
18,0.00835530656241534,0,0.40510321,5.47833132,11.8063183290767,Simarouba_glauca
18,0.0287485933447376,1,0.35997774,9.02138266,11.7800141354564,Bursera_simaruba
18,0.000571975276094427,1,0.7371692,8.75698686,32.1422366504772,Guazuma_ulmifolia
18,0.0473282194308564,1,0.35997774,9.02138266,0.0,Bursera_simaruba
18,0.0383892217309989,1,0.77475077,11.7948688,21.324729606737,Calycophyllum_candidissimum
